"score_data";"price_data";"distance_to_center";"Estrelas";"breakfast";"Reviews_qty";"Free_Cancel";"only_x_left"
8,1;23;2,1;2;0;1456;1;0
7,6;26;8;3;1;279;1;0
7,7;14;3,8;2;0;12;1;0
7,6;16;4,1;3;0;202;1;0
8,4;21;6;3;0;208;1;1
8,9;25;7;3;0;140;1;0
7,9;20;1,4;2;0;1358;1;0
9,2;28;8;3;0;23;1;1
6,7;24;10;3;0;17;1;1
8,3;24;13;4;0;474;1;0
6,7;16;6;2;0;215;1;0
8,3;52;1,1;4;0;930;1;0
8,5;16;5;3;0;290;1;0
7,6;42;5;3;0;185;1;1
6,5;32;4,8;3;1;107;1;1
8,9;23;4;4;0;8;1;0
7,1;16;4;3;0;506;1;1
9,1;20;2,8;2;1;1021;1;1
8,4;36;5;4;0;2118;1;0
8,5;25;0,4;4;0;866;1;1
8,5;23;7;3;0;588;1;1
8,5;45;14;4;0;211;1;1
7,3;17;6;3;0;463;1;0
8,6;24;3,5;3;0;314;1;0
7,7;58;5;4;0;252;1;0
8,4;38;10;3;0;111;1;0
8,5;55;4,3;4;0;272;1;0
6,6;41;6;3;1;55;1;1
7,3;26;10;4;0;201;1;1
8,7;18;3,5;2;0;303;1;1
9,3;26;3;3;0;475;1;0
9;17;6;3;0;272;1;1
8,2;22;3,2;2;0;175;1;0
8,5;37;2,1;3;0;302;1;0
7,8;26;7;3;0;246;1;0
7,5;38;5;4;0;97;0;1
8,3;30;4,3;3;0;22;1;1
7,2;31;4,2;3;0;735;1;0
8,2;38;10;4;0;155;1;0
9,1;28;3,2;4;0;762;1;0
7,5;14;10;3;0;381;1;0
8,1;17;5;3;0;118;1;1
8,4;42;6;3;0;441;1;0
8,1;19;13;4;0;158;0;0
8,2;22;10;2;0;122;1;1
8,9;46;7;4;0;424;1;0
8,3;39;13;3;0;194;1;0
6,4;19;5;3;0;575;1;0
7,1;13;12;3;0;12;1;1
8,1;59;6;4;0;959;1;0
8,4;55;7;4;1;126;1;0
7,9;12;13;3;0;235;1;0
7,7;31;12;4;1;69;1;1
7,3;44;3,6;3;0;77;0;1
8,6;26;12;3;0;155;0;0
8,1;30;9;4;0;424;1;0
8,9;20;6;1;0;448;1;0
8,1;27;5;4;0;651;0;0
7,5;22;3,3;3;0;109;1;1
8,1;35;5;4;0;233;1;0
6,9;42;5;4;0;2066;1;0
8,1;30;7;4;0;407;1;1
8,4;51;7;4;0;563;1;0
8,8;26;2,8;2;1;411;1;1
8,2;12;0,95;2;0;85;1;1
9;50;1;3;1;1660;1;0
8,1;16;4,2;2;0;385;1;1
7,2;13;11;3;0;245;1;0
7,1;19;0,9;2;0;196;1;1
6,8;13;9;3;0;326;1;0
8,6;71;3,9;5;0;447;1;1
7,2;27;3,1;2;0;374;1;1
8,5;37;4;3;1;154;1;1
8,4;22;6;3;0;33;1;1
8,1;82;9;4;0;6;1;1
8,4;21;6;3;0;186;1;0
8,9;19;11;3;0;16;1;0
7,1;33;5;3;0;219;1;0
6,8;44;5;3;0;1556;1;0
7,5;31;5;3;0;69;1;1
7,8;19;0,4;2;0;626;1;0
7,5;28;1,9;3;0;177;1;0
7,7;57;5;3;0;46;1;1
8,7;24;0,95;2;0;91;1;1
8,1;19;0,95;3;0;495;1;0
8,5;25;12;3;0;231;1;0
8,2;25;12;4;0;229;1;0
9,1;48;1,8;3;0;1213;1;0
7,9;31;7;3;0;181;1;1
8,5;73;2,8;5;0;610;1;0
7,5;13;10;3;0;71;1;0
8,6;23;6;3;0;58;0;0
8,6;37;0,9;3;0;197;1;0
8,2;26;5;3;0;296;1;0
8,2;15;2,9;2;0;361;1;1
9,1;111;3,5;3;0;1020;0;0
8,8;64;14;5;0;6;1;1
8,9;32;4,2;3;0;402;1;0
8,3;25;3,5;3;0;53;1;0
7,7;30;7;4;0;272;1;0
8,1;61;7;5;0;289;1;1
9,3;37;3,4;4;1;45;1;1
8,5;36;8;2;1;149;1;1
7,2;31;7;3;0;179;1;0
8,5;47;5;3;0;367;1;0
6,8;14;11;1;0;113;0;1
8,1;23;5;3;0;176;1;1
9;78;9;3;0;189;1;1
7;14;14;2;0;7;1;0
8,1;45;10;4;0;424;1;1
8,3;62;6;3;0;15;1;1
8,7;24;0,25;2;0;2114;1;1
8,8;58;8;3;0;372;1;1
6,9;20;2,8;2;0;108;1;1
7,8;9;8;2;0;70;1;1
8,4;25;7;3;0;93;1;1
8,4;43;4,3;3;0;220;1;0
8,5;21;0,45;2;0;142;1;0
8,4;37;5;4;0;284;1;0
8,4;93;7;4;0;152;1;0
8,2;27;4;2;0;52;1;1
7;23;6;3;0;138;1;0
8;17;5;2;0;41;1;0
8,8;46;4,3;4;0;682;1;1
8,7;17;4,5;3;0;99;1;1
8;22;0,4;2;0;736;1;0
7,7;15;12;4;0;90;1;1
8,1;57;4,5;3;0;411;1;0
8,7;30;3,8;4;0;343;1;1
6,8;20;6;3;0;119;1;0
8,3;22;3,5;3;0;376;1;0
7,6;22;5;3;0;387;1;0
8,2;16;0,9;2;1;501;1;1
8,5;42;7;3;0;50;1;0
7,4;19;4;2;0;314;1;0
8,7;20;6;3;1;164;1;1
6,8;17;2;3;0;227;1;1
9;61;3,1;3;0;71;1;1
8;21;1,4;2;0;597;1;0
8,5;31;6;3;0;155;1;1
7,3;57;11;3;0;83;1;0
7,9;47;6;3;0;76;1;0
6,7;20;14;3;0;152;1;0
8,5;44;8;3;0;233;1;1
8,5;37;6;3;1;433;1;1
7,4;21;11;4;0;238;1;1
7;33;13;4;1;47;0;1
8,3;11;14;1;0;15;1;0
6,7;47;4,4;4;1;46;1;1
8;40;10;4;0;34;1;1
8;29;4,7;3;0;281;1;0
8,6;23;5;2;0;168;1;1
8,2;36;7;3;0;189;1;0
8;20;3,7;3;0;245;1;1
6,7;22;10;3;0;150;1;0
7,1;32;5;4;0;222;1;0
8,5;86;3,3;4;0;392;1;0
6,4;22;5;2;0;62;1;0
7,5;52;13;4;1;39;1;1
8;20;12;4;0;16;1;0
8,3;15;1,4;2;0;816;1;0
8,9;72;8;4;1;375;1;0
7,2;19;3,5;3;0;59;1;1
7,6;23;7;3;0;346;1;1
7,4;19;8;3;0;148;1;0
9,5;31;0,7;2;0;815;1;1
7,6;81;5;4;1;439;1;1
8,4;23;4,7;3;0;40;1;1
8;17;0,9;3;0;581;1;1
7;16;11;3;0;28;1;1
7,6;23;0,55;2;0;352;1;1
7,9;25;5;3;0;649;1;0
7,4;62;3,5;3;0;27;1;0
8,3;37;13;5;0;460;1;0
7,6;11;11;2;0;185;1;1
7,3;21;9;3;0;311;1;0
8,4;22;1,9;3;0;210;1;1
6,8;30;5;3;0;327;1;0
9,2;35;0,6;3;0;250;1;1
8,3;21;10;3;0;49;1;1
8,8;17;4,6;3;0;535;1;1
8,1;34;10;3;0;101;1;0
8;16;1,1;2;0;923;1;0
9,4;25;11;4;1;112;1;0
7,2;54;1,1;5;0;292;1;0
8,3;50;6;3;0;401;1;0
7,2;21;7;2;0;90;1;0
7;19;4,8;2;0;418;1;0
9,2;28;8;3;0;104;1;1
7,6;17;8;2;0;229;1;0
8;38;4,3;2;0;95;1;1
8,4;19;4,2;2;0;246;1;1
8,6;44;1,4;3;0;13;1;1
9;27;3,8;3;0;819;1;1
7,5;26;8;3;0;105;1;0
8,3;39;4,1;3;0;111;0;0
7,6;27;1,1;3;0;317;1;0
8,3;44;3,2;3;0;432;1;0
8,9;55;6;3;0;164;1;1
7,9;27;8;3;0;93;1;0
7,7;24;0,45;2;0;106;1;0
8,9;16;7;3;1;214;1;1
7,9;40;4;3;0;624;1;0
