"Hotel_Name";"score_data";"price_data";"distance_to_center";"Estrelas";"breakfast";"Reviews_qty";"Free_Cancel";"only_x_left"
"
Theatre Residence
";9;50;2,1;4;0;940;1;0
"
Livotel Hotel Hua Mak Bangkok
";7,8;13;14;4;0;594;1;0
"
Oriental Residence Bangkok - SHA Certified
";9,1;114;4,8;5;1;664;1;0
"
Bann Bunga
";6,3;13;2,6;2;0;237;1;1
"
Gold Orchid Bangkok Hotel
";7,5;35;7;4;1;68;1;1
"
Retro39
";7,8;19;7;3;0;280;1;1
"
The Mix Bangkok - Phrom Phong
";7,3;13;7;3;0;429;1;1
"
VIX Bangkok at Victory Monument
";9,5;22;3,9;3;0;15;1;0
"
Cubic Bangna
";8,9;31;14;3;0;66;1;0
"
Bangkok City Hotel
";7,5;35;2,5;3;1;1038;1;0
"
Trang Hotel Bangkok
";7,6;27;1;3;0;1386;1;0
"
Wendy House
";8,1;18;2,8;3;1;803;1;1
"
Tuk Tuk Hostel
";8,6;12;3;2;0;636;1;0
"
S44ROOM
";8,5;17;10;3;0;461;1;0
"
De Arni Bangkok
";7,9;35;4;3;0;46;1;0
"
Babo House Bangkok
";7,7;10;1,1;3;0;989;1;0
"
Aspira One Sutthisan
";8,6;28;8;4;0;218;1;0
"
Vic3 Bangkok
";8,3;23;4,5;4;0;307;1;0
"
Atrium Boutique Hotel
";8,2;22;8;3;1;1350;1;0
"
Resort V - MRT Huai Khwang
";8,1;16;7;3;0;1069;1;0
"
Aspira Sukhumvit
";8,1;22;5;4;0;596;1;0
"
Chang Siam Inn
";8,1;11;4,5;2;0;715;1;1
"
OYO 498 Ladawan Villa
";7,2;11;10;3;0;41;1;0
"
OYO 714 Chevasai Vipawadee 42
";6,8;15;11;2;0;33;1;0
"
Tongtara Riverview Hotel
";8;51;6;4;0;328;1;1
"
iSanook Bangkok
";8,6;29;3,1;4;0;2385;1;1
"
Sukhon Hotel
";9,2;33;3,1;3;1;499;1;1
"
The Ex Capital Hotel
";8,6;32;4,4;3;1;130;1;0
"
Onyx Hotel Bangkok
";8,1;39;13;4;1;112;1;1
"
Jasmine Resort Bangkok SHA Certified
";8,3;47;10;5;0;212;1;0
"
MyBed Ratchada
";7,9;21;9;2;0;334;1;1
"
At Hua Lamphong Hotel
";7,9;19;2,4;3;0;829;1;0
"
CK2 Hotel
";8,3;17;7;3;0;1040;1;0
"
Citadines Sukhumvit 23 Bangkok
";8,6;38;6;4;0;1173;1;0
"
Parvena Ratchada
";8,6;19;6;2;0;26;1;0
"
Khaosan Palace Hotel
";7,5;32;1;3;0;3172;1;0
